,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2014-12-13,2030.36,2032.25,2002.33,2002.33,657438085
2014-12-16,2005.03,2018.69,1982.26,1989.63,670000872
2014-12-17,1986.71,2016.89,1972.56,1972.74,690265228
2014-12-18,1973.77,2016.75,1973.77,2012.89,658790571
2014-12-19,2018.98,2061.23,2018.98,2061.23,667228778
2014-12-20,2061.04,2077.85,2061.03,2070.65,1633999743
2014-12-23,2069.28,2078.76,2069.28,2078.54,550803963
2014-12-24,2081.48,2086.73,2079.77,2082.17,473272321
2014-12-25,2083.25,2087.56,2081.86,2081.88,224945658
2014-12-27,2084.3,2092.7,2084.3,2088.77,286785411
2014-12-30,2087.63,2093.55,2085.75,2090.57,331932588
2014-12-31,2088.49,2088.49,2079.53,2080.35,307732134
2015-01-01,2082.11,2085.58,2057.94,2058.9,415223765
2015-01-03,2058.9,2072.36,2046.04,2058.2,426937581
2015-01-06,2054.44,2054.44,2017.34,2020.58,611506858
2015-01-07,2022.15,2030.25,1992.44,2002.61,628224413
2015-01-08,2005.55,2029.61,2005.55,2025.9,538478740
2015-01-09,2030.61,2064.08,2030.61,2062.14,604827987
2015-01-10,2063.45,2064.43,2038.33,2044.81,503887901
2015-01-13,2046.13,2049.3,2022.58,2028.26,536631269
2015-01-14,2031.58,2056.93,2008.25,2023.03,610182246
2015-01-15,2018.4,2018.4,1988.44,2011.27,673001114
2015-01-16,2013.75,2021.35,1991.47,1992.67,608258039
2015-01-17,1992.25,2020.46,1988.12,2019.42,731828339
2015-01-21,2020.76,2028.94,2004.49,2022.55,605394244
2015-01-22,2020.19,2038.29,2012.04,2032.12,538996626
2015-01-23,2034.3,2064.62,2026.38,2063.15,643547837
2015-01-24,2062.98,2062.98,2050.54,2051.82,535455933
2015-01-27,2050.42,2057.62,2040.97,2057.09,525986275
2015-01-28,2047.86,2047.86,2019.91,2029.55,562176423
2015-01-29,2032.34,2042.49,2001.49,2002.16,648480471
2015-01-30,2002.45,2024.64,1989.18,2021.25,620130124
2015-01-31,2019.35,2023.32,1993.38,1994.99,893217502
2015-02-03,1996.67,2021.66,1980.9,2020.85,637708675
2015-02-04,2022.71,2050.3,2022.71,2050.03,658300755
2015-02-05,2048.86,2054.74,2036.72,2041.51,638853840
2015-02-06,2043.45,2063.55,2043.45,2062.52,532688569
2015-02-07,2062.28,2072.4,2049.97,2055.47,590733024
2015-02-10,2053.47,2056.16,2041.88,2046.74,502321634
2015-02-11,2049.38,2070.86,2048.62,2068.59,537838874
2015-02-12,2068.55,2073.48,2057.99,2068.53,502374735
2015-02-13,2069.98,2088.53,2069.98,2088.48,563402483
2015-02-14,2088.78,2097.03,2086.7,2096.99,501223065
2015-02-18,2096.47,2101.3,2089.8,2100.34,557220441
2015-02-19,2099.16,2100.23,2092.15,2099.68,458222878
2015-02-20,2099.25,2102.13,2090.79,2097.45,462240272
2015-02-21,2097.65,2110.61,2085.44,2110.3,621832126
2015-02-24,2109.83,2110.05,2103.0,2109.66,497016103
2015-02-25,2109.1,2117.94,2105.87,2115.48,499805150
2015-02-26,2115.3,2119.59,2109.89,2113.86,481020383
2015-02-27,2113.91,2113.91,2103.76,2110.74,504308836
2015-02-28,2110.88,2112.74,2103.75,2104.5,596556881
2015-03-03,2105.23,2117.52,2104.5,2117.39,516612174
2015-03-04,2115.76,2115.76,2098.26,2107.78,488593539
2015-03-05,2107.72,2107.72,2087.62,2098.53,489025555
2015-03-06,2098.54,2104.25,2095.22,2101.04,479611957
2015-03-07,2100.91,2100.91,2067.27,2071.26,654413604
