,Open,High,Low,Close,Volume
2008-07-16,1226.82,1234.35,1200.44,1214.91,0
2008-07-17,1214.65,1245.52,1211.39,1245.36,0
2008-07-18,1246.31,1262.31,1241.49,1260.31,0
2008-07-19,1258.22,1262.23,1251.81,1260.68,0
2008-07-22,1261.81,1267.74,1255.7,1260.0,0
2008-07-23,1257.07,1277.42,1248.82,1277.0,0
2008-07-24,1278.87,1291.17,1276.06,1282.18,0
2008-07-25,1283.22,1283.22,1251.48,1252.54,0
2008-07-26,1253.51,1263.23,1251.75,1257.76,0
2008-07-29,1257.76,1260.09,1234.37,1234.37,0
2008-07-30,1236.38,1263.2,1236.38,1263.19,0
2008-07-31,1264.52,1284.33,1264.52,1284.26,0
2008-08-01,1281.37,1284.93,1265.97,1267.38,0
2008-08-02,1269.42,1270.52,1254.54,1260.31,0
2008-08-05,1260.16,1260.49,1247.45,1249.01,0
2008-08-06,1254.87,1284.88,1254.67,1284.88,0
2008-08-07,1283.99,1291.67,1276.0,1289.18,0
2008-08-08,1286.51,1286.51,1264.29,1266.06,0
2008-08-09,1266.29,1297.85,1262.11,1296.31,0
2008-08-12,1294.42,1313.15,1291.41,1305.31,0
2008-08-13,1304.79,1304.79,1285.64,1289.59,0
2008-08-14,1288.64,1294.03,1274.86,1285.82,0
2008-08-15,1282.11,1300.11,1276.84,1292.93,0
2008-08-16,1293.85,1302.05,1290.74,1298.19,0
2008-08-19,1298.14,1300.22,1274.51,1278.6,0
2008-08-20,1276.65,1276.65,1263.11,1266.68,0
2008-08-21,1267.34,1276.01,1261.16,1274.54,0
2008-08-22,1271.06,1281.4,1265.22,1277.72,0
2008-08-23,1277.59,1293.09,1277.59,1292.19,0
2008-08-26,1290.47,1290.47,1264.87,1266.84,0
2008-08-27,1267.03,1275.65,1263.21,1271.51,0
2008-08-28,1271.29,1285.05,1270.03,1281.66,0
2008-08-29,1283.79,1300.68,1283.79,1300.68,0
2008-08-30,1296.49,1297.59,1282.74,1282.82,0
2008-09-03,1287.82,1303.04,1272.2,1277.57,0
2008-09-04,1276.61,1280.6,1265.59,1274.98,0
2008-09-05,1271.8,1271.8,1232.83,1236.82,0
2008-09-06,1233.21,1244.94,1217.23,1242.31,0
2008-09-09,1249.5,1274.42,1247.12,1267.79,0
2008-09-10,1267.98,1268.66,1224.51,1224.51,0
2008-09-11,1227.5,1243.9,1221.6,1232.04,0
2008-09-12,1229.04,1249.98,1211.54,1249.05,0
2008-09-13,1245.88,1255.09,1233.81,1251.69,0
2008-09-16,1250.92,1250.92,1192.69,1192.69,0
2008-09-17,1188.31,1214.84,1169.28,1213.6,0
2008-09-18,1210.34,1210.34,1155.88,1156.39,0
2008-09-19,1157.07,1211.14,1133.5,1206.51,0
2008-09-20,1213.11,1265.12,1213.11,1255.07,0
2008-09-23,1255.37,1255.37,1205.61,1207.09,0
2008-09-24,1207.61,1221.15,1187.06,1188.22,0
2008-09-25,1188.79,1197.41,1179.79,1185.87,0
2008-09-26,1187.87,1220.03,1187.87,1209.18,0
2008-09-27,1204.47,1215.77,1187.54,1213.27,0
2008-09-30,1209.06,1209.07,1106.42,1106.42,0
2008-10-01,1113.78,1168.03,1113.78,1164.74,0
2008-10-02,1164.17,1167.03,1140.77,1161.06,0
2008-10-03,1160.64,1160.64,1111.43,1114.28,0
2008-10-04,1115.16,1153.82,1098.14,1099.23,0
2008-10-07,1097.56,1097.56,1007.97,1056.89,0
2008-10-08,1057.6,1072.91,996.23,996.23,0
2008-10-09,988.91,1021.06,970.97,984.94,0
2008-10-10,988.42,1005.25,909.19,909.92,0
2008-10-11,902.31,936.36,839.8,899.22,0
2008-10-14,912.75,1006.93,912.75,1003.35,0
2008-10-15,1009.97,1044.31,972.07,998.01,0
2008-10-16,994.6,994.6,903.99,907.84,0
2008-10-17,909.53,947.71,865.83,946.43,0
2008-10-18,942.29,984.64,918.74,940.55,0
2008-10-21,943.51,985.4,943.51,985.4,0
2008-10-22,980.4,985.44,952.47,955.05,0
2008-10-23,951.67,951.67,875.81,896.78,0
2008-10-24,899.08,922.83,858.44,908.11,0
2008-10-25,895.22,896.3,852.85,876.77,0
2008-10-28,874.28,893.78,846.75,848.92,0
2008-10-29,848.92,940.51,845.27,940.51,0
2008-10-30,939.51,969.97,922.26,930.09,0
2008-10-31,939.38,963.23,928.5,954.09,0
2008-11-01,953.11,984.38,944.59,968.75,0
2008-11-04,968.67,975.57,958.82,966.3,0
2008-11-05,971.31,1007.51,971.31,1005.75,0
2008-11-06,1001.84,1001.84,949.86,952.77,0
2008-11-07,952.4,952.4,899.73,904.88,0
2008-11-08,907.44,931.46,906.9,930.99,0
2008-11-11,936.75,951.95,907.47,919.21,0
2008-11-12,917.15,917.15,884.9,898.95,0
2008-11-13,893.39,893.39,850.48,852.3,0
2008-11-14,853.13,913.01,818.69,911.29,0
2008-11-15,904.36,916.88,869.88,873.29,0
2008-11-18,873.23,882.29,848.98,850.75,0
2008-11-19,852.34,865.9,826.84,859.12,0
2008-11-20,859.03,864.57,806.18,806.58,0
2008-11-21,805.87,820.52,747.78,752.44,0
2008-11-22,755.84,801.2,741.02,800.03,0
2008-11-25,801.2,865.6,801.2,851.81,0
2008-11-26,853.4,868.94,834.99,857.39,0
2008-11-27,852.9,887.68,841.37,887.68,0
2008-11-29,886.89,896.25,881.21,896.24,0
2008-12-02,888.61,888.61,815.69,816.21,0
2008-12-03,817.94,850.54,817.94,848.81,0
2008-12-04,843.6,873.12,827.6,870.74,0
2008-12-05,869.75,875.6,833.6,845.22,0
2008-12-06,844.43,879.42,818.41,876.07,0
2008-12-09,882.71,918.57,882.71,909.7,0
2008-12-10,906.48,916.26,885.38,888.67,0
2008-12-11,892.17,908.27,885.45,899.24,0
2008-12-12,898.35,904.63,868.73,873.59,0
2008-12-13,871.79,883.24,851.35,879.73,0
2008-12-16,881.07,884.63,857.72,868.57,0
2008-12-17,871.53,914.66,871.53,913.18,0
2008-12-18,908.16,918.85,895.94,904.42,0
2008-12-19,905.98,911.02,877.44,885.28,0
2008-12-20,886.96,905.47,883.02,887.88,0
2008-12-23,887.2,887.37,857.09,871.63,0
2008-12-24,874.31,880.44,860.1,863.16,0
2008-12-25,863.87,869.79,861.44,865.02,0
2008-12-27,869.51,873.74,866.52,872.8,0
2008-12-30,872.37,873.7,857.07,869.42,0
2008-12-31,870.58,891.12,870.58,890.64,0
2009-01-01,890.59,910.32,889.67,903.25,0
2009-01-03,902.99,934.73,899.35,931.8,0
2009-01-06,929.17,936.63,919.53,927.45,0
2009-01-07,931.17,943.85,927.28,934.7,0
2009-01-08,927.45,927.45,902.37,906.65,0
2009-01-09,905.73,910.0,896.81,909.73,0
2009-01-10,909.91,911.93,888.31,890.35,0
2009-01-13,890.4,890.4,864.32,870.26,0
2009-01-14,869.79,877.02,862.02,871.79,0
2009-01-15,867.28,867.28,836.93,842.62,0
2009-01-16,841.99,851.59,817.04,843.74,0
2009-01-17,844.45,858.13,830.66,850.12,0
2009-01-21,849.64,849.64,804.47,805.22,0
2009-01-22,806.77,841.72,804.3,840.24,0
2009-01-23,839.74,839.74,811.29,827.5,0
2009-01-24,822.16,838.61,806.07,831.95,0
2009-01-27,832.5,852.53,827.69,836.57,0
2009-01-28,837.3,850.45,835.4,845.71,0
2009-01-29,845.73,877.86,845.73,874.09,0
2009-01-30,868.89,868.89,844.15,845.14,0
2009-01-31,845.69,851.66,821.67,825.88,0
2009-02-03,823.09,830.78,812.87,825.44,0
2009-02-04,825.69,842.6,821.98,838.51,0
2009-02-05,837.77,851.85,829.18,832.23,0
2009-02-06,831.75,850.55,819.91,845.85,0
2009-02-07,846.09,870.75,845.42,868.6,0
2009-02-10,868.24,875.01,861.65,869.89,0
2009-02-11,866.87,868.05,822.99,827.16,0
2009-02-12,827.41,838.22,822.3,833.74,0
2009-02-13,829.91,835.48,808.06,835.19,0
2009-02-14,833.95,839.43,825.21,826.84,0
2009-02-18,818.61,818.61,789.17,789.17,0
2009-02-19,791.06,796.17,780.43,788.42,0
2009-02-20,787.91,797.58,777.03,778.94,0
2009-02-21,775.87,778.69,754.25,770.05,0
2009-02-24,773.25,777.85,742.37,743.33,0
2009-02-25,744.69,775.49,744.69,773.14,0
2009-02-26,770.64,780.12,752.89,764.9,0
2009-02-27,765.76,779.42,751.75,752.83,0
2009-02-28,749.93,751.27,734.52,735.09,0
2009-03-03,729.57,729.57,699.7,700.82,0
2009-03-04,704.44,711.67,692.3,696.33,0
2009-03-05,698.6,724.12,698.6,712.87,0
2009-03-06,708.27,708.27,677.93,682.55,0
2009-03-07,684.04,699.09,666.79,683.38,0
2009-03-10,680.76,695.27,672.88,676.53,0
2009-03-11,679.28,719.6,679.28,719.6,0
2009-03-12,719.59,731.92,713.85,721.36,0
2009-03-13,720.89,752.63,714.76,750.74,0
2009-03-14,751.97,758.29,742.46,756.55,0
2009-03-17,758.84,774.53,753.37,753.89,0
2009-03-18,753.88,778.12,749.93,778.12,0
2009-03-19,776.01,803.04,765.64,794.35,0
2009-03-20,797.92,803.24,781.82,784.04,0
2009-03-21,784.58,788.91,766.2,768.54,0
2009-03-24,772.31,823.37,772.31,822.92,0
2009-03-25,820.6,823.65,805.48,806.25,0
2009-03-26,806.81,826.78,791.37,813.88,0
2009-03-27,814.06,832.98,814.06,832.86,0
2009-03-28,828.68,828.68,813.43,815.94,0
2009-03-31,809.07,809.07,779.81,787.53,0
2009-04-01,790.88,810.48,790.88,797.87,0
2009-04-02,793.59,813.62,783.32,811.08,0
2009-04-03,814.53,845.61,814.53,834.38,0
2009-04-04,835.13,842.5,826.7,842.5,0
2009-04-07,839.75,839.75,822.79,835.48,0
2009-04-08,817.98,834.12,814.53,815.55,0
2009-04-09,816.76,828.42,814.84,825.16,0
2009-04-10,829.29,856.91,829.29,856.56,0
2009-04-14,855.33,864.31,845.35,858.73,0
2009-04-15,856.88,856.88,840.25,841.5,0
2009-04-16,839.44,852.93,835.58,852.06,0
2009-04-17,854.54,870.35,847.04,865.3,0
2009-04-18,865.18,875.63,860.87,869.6,0
2009-04-21,868.27,868.27,832.39,832.39,0
2009-04-22,831.25,850.09,826.83,850.08,0
2009-04-23,847.26,861.78,840.57,843.55,0
2009-04-24,844.62,852.87,835.45,851.92,0
2009-04-25,853.91,871.8,853.91,866.23,0
2009-04-28,862.82,868.83,854.65,857.51,0
2009-04-29,854.48,864.48,847.12,855.16,0
2009-04-30,856.85,882.06,856.85,873.64,0
2009-05-01,876.59,888.7,868.51,872.81,0
2009-05-02,872.74,880.48,866.1,877.52,0
2009-05-05,879.21,907.85,879.21,907.24,0
2009-05-06,906.1,907.7,897.34,903.8,0
2009-05-07,903.95,920.28,903.95,919.53,0
2009-05-08,919.58,929.58,901.36,907.39,0
2009-05-09,909.03,930.17,909.03,929.23,0
2009-05-12,913.82,922.99,908.68,909.24,0
2009-05-13,910.52,915.57,896.46,908.35,0
2009-05-14,905.4,905.4,882.8,883.92,0
2009-05-15,884.24,898.36,882.52,893.07,0
2009-05-16,892.76,896.97,878.94,882.88,0
2009-05-19,886.07,910.0,886.07,909.71,0
2009-05-20,909.67,916.39,905.22,908.13,0
2009-05-21,908.62,924.6,901.37,903.47,0
2009-05-22,900.42,900.42,879.61,888.33,0
2009-05-23,888.68,896.65,883.75,887.0,0
2009-05-27,887.0,911.76,881.46,910.33,0
2009-05-28,909.95,913.84,891.87,893.06,0
2009-05-29,892.96,909.45,887.6,906.83,0
2009-05-30,907.02,920.02,903.56,919.14,0
2009-06-02,923.26,947.77,923.26,942.87,0
2009-06-03,942.87,949.38,938.46,944.74,0
2009-06-04,942.51,942.51,923.85,931.76,0
2009-06-05,932.49,942.47,929.32,942.46,0
2009-06-06,945.67,951.69,934.13,940.09,0
2009-06-09,938.12,946.33,926.44,939.14,0
2009-06-10,940.35,946.92,936.15,942.43,0
2009-06-11,942.73,949.77,927.97,939.15,0
2009-06-12,939.04,956.23,939.04,944.89,0
2009-06-13,943.44,946.3,935.66,946.21,0
2009-06-16,942.45,942.45,919.65,923.72,0
2009-06-17,925.6,928.0,911.6,911.97,0
2009-06-18,911.89,918.44,903.78,910.71,0
2009-06-19,910.86,921.93,907.94,918.37,0
2009-06-20,919.96,927.09,915.8,921.23,0
2009-06-23,918.13,918.13,893.04,893.04,0
2009-06-24,893.46,898.69,888.86,895.1,0
2009-06-25,896.31,910.85,896.31,900.94,0
2009-06-26,899.45,921.42,896.27,920.26,0
2009-06-27,918.84,922.0,913.03,918.9,0
2009-06-30,919.86,927.99,916.18,927.23,0
2009-07-01,927.15,930.01,912.86,919.32,0
2009-07-02,920.82,931.92,920.82,923.33,0
2009-07-03,921.24,921.24,896.42,896.42,0
2009-07-07,894.27,898.72,886.36,898.72,0
2009-07-08,898.6,898.6,879.93,881.03,0
2009-07-09,881.9,886.8,869.32,879.56,0
2009-07-10,881.28,887.86,878.45,882.68,0
2009-07-11,880.03,883.57,872.81,879.13,0
2009-07-14,879.57,901.05,875.32,901.05,0
2009-07-15,900.77,905.84,896.5,905.84,0
2009-07-16,910.15,933.95,910.15,932.68,0
2009-07-17,930.17,943.96,927.45,940.74,0
2009-07-18,940.56,941.89,934.65,940.38,0
2009-07-21,942.07,951.62,940.99,951.13,0
2009-07-22,951.97,956.53,943.22,954.58,0
2009-07-23,953.4,959.83,947.75,954.07,0
2009-07-24,954.07,979.42,953.27,976.29,0
2009-07-25,972.16,979.79,965.95,979.26,0
2009-07-28,978.63,982.49,972.29,982.18,0
2009-07-29,981.48,982.35,969.35,979.62,0
2009-07-30,977.66,977.76,968.65,975.15,0
2009-07-31,976.01,996.68,976.01,986.75,0
2009-08-01,986.8,993.18,982.85,987.48,0
2009-08-04,990.22,1003.61,990.22,1002.63,0
2009-08-05,1001.41,1007.12,996.68,1005.65,0
2009-08-06,1005.41,1006.64,994.31,1002.72,0
2009-08-07,1004.06,1008.0,992.49,997.08,0
2009-08-08,999.83,1018.0,999.83,1010.48,0
2009-08-11,1008.89,1010.12,1000.99,1007.1,0
2009-08-13,994.0,1012.78,993.36,1005.81,0
2009-08-14,1005.86,1012.78,1000.82,1012.73,0
2009-08-15,1012.23,1012.6,994.6,1004.09,0
2009-08-18,998.18,998.18,978.51,979.73,0
2009-08-19,980.62,991.2,980.62,989.67,0
2009-08-20,986.88,999.61,980.62,996.46,0
2009-08-21,996.41,1008.92,996.39,1007.37,0
2009-08-22,1009.06,1027.59,1009.06,1026.13,0
2009-08-25,1026.59,1035.82,1022.48,1025.56,0
2009-08-26,1026.63,1037.75,1026.21,1028.0,0
2009-08-27,1027.35,1032.47,1021.57,1028.12,0
2009-08-28,1027.81,1033.33,1016.2,1030.98,0
2009-08-29,1031.62,1039.47,1023.13,1028.93,0
2009-09-01,1025.21,1025.21,1014.62,1020.62,0
2009-09-02,1019.52,1028.45,996.28,998.04,0
2009-09-03,996.07,1000.34,991.97,994.75,0
2009-09-04,996.12,1003.43,992.25,1003.24,0
2009-09-05,1003.84,1016.48,1001.65,1016.4,0
2009-09-09,1018.67,1026.07,1018.67,1025.39,0
2009-09-10,1025.36,1036.34,1023.97,1033.37,0
2009-09-11,1032.99,1044.14,1028.04,1044.14,0
2009-09-12,1043.92,1048.18,1038.4,1042.73,0
2009-09-15,1040.15,1049.74,1035.0,1049.34,0
2009-09-16,1049.03,1056.04,1043.42,1052.63,0
2009-09-17,1053.99,1068.76,1052.87,1068.76,0
2009-09-18,1067.87,1074.77,1061.2,1065.49,0
2009-09-19,1066.6,1071.52,1064.27,1068.3,0
2009-09-22,1067.14,1067.28,1057.46,1064.66,0
2009-09-23,1066.35,1073.81,1066.35,1071.66,0
2009-09-24,1072.68,1080.15,1060.39,1060.87,0
2009-09-25,1062.56,1066.29,1045.85,1050.78,0
2009-09-26,1049.48,1053.47,1041.17,1044.38,0
2009-09-29,1045.38,1065.13,1045.38,1062.98,0
2009-09-30,1063.68,1069.62,1057.83,1060.61,0
2009-10-01,1061.02,1063.4,1046.47,1057.07,0
2009-10-02,1054.91,1054.91,1029.45,1029.85,0
2009-10-03,1029.71,1030.6,1019.95,1025.21,0
2009-10-06,1026.87,1042.58,1025.92,1040.46,0
2009-10-07,1042.02,1060.55,1042.02,1054.72,0
2009-10-08,1053.65,1058.02,1050.1,1057.57,0
2009-10-09,1060.03,1070.67,1060.03,1065.48,0
2009-10-10,1065.28,1071.51,1063.0,1071.49,0
2009-10-13,1071.63,1079.46,1071.63,1076.18,0
2009-10-14,1074.96,1075.3,1066.71,1073.18,0
2009-10-15,1078.68,1093.17,1078.68,1092.02,0
2009-10-16,1090.36,1096.56,1086.41,1096.56,0
2009-10-17,1094.67,1094.67,1081.53,1087.68,0
2009-10-20,1088.22,1100.17,1086.48,1097.91,0
2009-10-21,1098.64,1098.64,1086.16,1091.06,0
2009-10-22,1090.36,1101.36,1080.77,1081.4,0
2009-10-23,1080.96,1095.21,1074.31,1092.91,0
2009-10-24,1095.62,1095.83,1075.49,1079.6,0
2009-10-27,1080.36,1091.75,1065.23,1066.94,0
2009-10-28,1067.54,1072.48,1060.62,1063.41,0
2009-10-29,1061.51,1063.26,1042.19,1042.63,0
2009-10-30,1043.68,1066.83,1043.69,1066.11,0
2009-10-31,1065.41,1065.41,1033.38,1036.18,0
2009-11-03,1036.18,1052.18,1029.38,1042.88,0
2009-11-04,1040.92,1046.36,1033.94,1045.41,0
2009-11-05,1047.14,1061.0,1045.15,1046.5,0
2009-11-06,1047.3,1066.65,1047.3,1066.63,0
2009-11-07,1064.94,1071.48,1059.32,1069.3,0
2009-11-10,1072.31,1093.19,1072.31,1093.07,0
2009-11-11,1091.86,1096.42,1087.4,1093.01,0
2009-11-12,1096.04,1105.37,1093.81,1098.51,0
2009-11-13,1098.31,1101.97,1084.9,1087.24,0
2009-11-14,1087.59,1097.79,1085.33,1093.48,0
2009-11-17,1094.13,1113.69,1094.13,1109.3,0
2009-11-18,1109.22,1110.52,1102.19,1110.31,0
2009-11-19,1109.43,1111.1,1102.7,1109.8,0
2009-11-20,1106.43,1106.44,1088.4,1094.9,0
2009-11-21,1094.66,1094.66,1086.81,1091.38,0
2009-11-24,1094.86,1112.38,1094.86,1106.24,0
2009-11-25,1105.82,1107.56,1097.63,1105.65,0
2009-11-26,1106.49,1111.18,1104.75,1110.63,0
2009-11-28,1105.47,1105.47,1083.74,1091.49,0
2009-12-01,1091.06,1097.24,1086.25,1095.63,0
2009-12-02,1098.89,1112.28,1098.89,1108.86,0
2009-12-03,1109.03,1115.58,1105.29,1109.24,0
2009-12-04,1110.59,1117.28,1098.74,1099.92,0
2009-12-05,1100.43,1119.13,1096.52,1105.98,0
2009-12-08,1105.52,1110.72,1100.83,1103.25,0
2009-12-09,1103.04,1103.04,1088.61,1091.93,0
2009-12-10,1091.06,1097.04,1085.89,1095.94,0
2009-12-11,1098.68,1106.25,1098.68,1102.35,0
2009-12-12,1103.96,1108.5,1101.34,1106.41,0
2009-12-15,1107.84,1114.76,1107.84,1114.11,0
2009-12-16,1114.11,1114.11,1105.35,1107.93,0
2009-12-17,1108.61,1116.21,1107.96,1109.18,0
2009-12-18,1106.36,1106.36,1095.88,1096.07,0
2009-12-19,1097.86,1103.74,1093.88,1102.47,0
2009-12-22,1105.31,1117.68,1105.31,1114.05,0
2009-12-23,1114.51,1120.27,1114.51,1118.02,0
2009-12-24,1118.84,1121.58,1116.0,1120.59,0
2009-12-25,1121.07,1126.48,1121.08,1126.48,0
2009-12-29,1127.53,1130.38,1123.51,1127.78,0
2009-12-30,1128.55,1130.38,1126.08,1126.19,0
2009-12-31,1125.53,1126.42,1121.94,1126.42,0
2010-01-01,1115.1,1115.1,1115.1,1115.1,0
2010-01-05,1116.56,1133.87,1116.56,1132.99,0
2010-01-06,1132.66,1136.63,1129.66,1136.52,0
2010-01-07,1135.71,1139.19,1133.95,1137.14,0
2010-01-08,1136.27,1142.46,1131.32,1141.68,0
2010-01-09,1140.52,1145.39,1136.22,1144.98,0
2010-01-12,1145.96,1149.74,1142.02,1146.98,0
2010-01-13,1143.81,1143.81,1131.77,1136.22,0
2010-01-14,1137.31,1148.4,1133.18,1145.68,0
2010-01-15,1145.68,1150.41,1143.8,1148.46,0
2010-01-16,1136.03,1136.03,1136.03,1136.03,0
2010-01-20,1136.03,1150.45,1135.77,1150.23,0
2010-01-21,1147.94,1147.95,1129.25,1138.04,0
2010-01-22,1138.68,1141.58,1114.84,1116.48,0
2010-01-23,1115.49,1115.49,1090.18,1091.76,0
2010-01-26,1092.4,1102.97,1092.4,1096.78,0
2010-01-27,1095.8,1103.69,1089.86,1092.17,0
2010-01-28,1091.93,1099.51,1083.11,1097.5,0
2010-01-29,1096.93,1100.22,1078.46,1084.53,0
2010-01-30,1087.61,1096.45,1071.59,1073.87,0
2010-02-02,1073.89,1089.38,1073.89,1089.18,0
2010-02-03,1090.05,1104.73,1087.96,1103.31,0
2010-02-04,1100.67,1102.72,1093.97,1097.28,0
2010-02-05,1097.25,1097.25,1062.78,1063.11,0
2010-02-06,1064.12,1067.13,1044.5,1066.18,0
2010-02-09,1065.51,1071.2,1056.51,1056.74,0
2010-02-10,1060.06,1079.28,1060.06,1070.52,0
2010-02-11,1069.68,1073.67,1059.34,1068.13,0
2010-02-12,1067.1,1080.04,1060.59,1078.47,0
2010-02-13,1075.51,1075.51,1075.51,1075.51,0
2010-02-17,1079.13,1095.67,1079.13,1094.87,0
2010-02-18,1096.14,1101.03,1094.72,1099.51,0
2010-02-19,1099.03,1108.24,1097.48,1106.75,0
2010-02-20,1105.49,1112.42,1100.8,1109.17,0
2010-02-23,1110.0,1112.29,1105.38,1108.01,0
2010-02-24,1107.49,1108.58,1092.18,1094.6,0
2010-02-25,1095.89,1106.42,1095.5,1105.24,0
2010-02-26,1101.24,1103.5,1086.02,1102.93,0
2010-02-27,1103.1,1107.24,1097.56,1104.49,0
2010-03-02,1105.36,1116.11,1105.36,1115.71,0
2010-03-03,1117.01,1123.46,1116.51,1118.31,0
2010-03-04,1119.36,1125.64,1116.58,1118.79,0
2010-03-05,1119.12,1123.73,1116.66,1122.97,0
2010-03-06,1125.12,1139.38,1125.12,1138.69,0
2010-03-09,1138.4,1141.05,1136.77,1138.5,0
2010-03-10,1137.56,1145.37,1134.9,1140.44,0
2010-03-11,1140.22,1148.26,1140.09,1145.61,0
2010-03-12,1143.96,1150.24,1138.99,1150.24,0
2010-03-13,1151.71,1153.41,1146.97,1149.99,0
2010-03-16,1148.53,1150.98,1141.45,1150.51,0
2010-03-17,1150.82,1160.28,1150.35,1159.46,0
2010-03-18,1159.93,1169.84,1159.94,1166.21,0
2010-03-19,1166.13,1167.77,1161.16,1165.82,0
2010-03-20,1166.68,1169.2,1155.33,1159.9,0
2010-03-23,1157.25,1167.82,1152.88,1165.81,0
2010-03-24,1166.47,1174.72,1163.83,1174.17,0
2010-03-25,1172.69,1173.04,1166.01,1167.72,0
2010-03-26,1170.03,1180.69,1165.09,1165.73,0
